Refran	Significado	Uso
Año bisiesto, año siniestro	Existe la creencia de que en los años bisiestos ocurren hechos funestos.	En desuso
Año de brevas, nunca lo veas	Da a entender que el año abundante en brevas suele ser estéril en granos y frutos.	En desuso
Año de heladas, año de parvas	Las heladas en su tiempo favorecen más adelante las cosechas de cereales.	En desuso
Antes de que acabes, no te alabes	Recomienda prudencia, pues no conviene elogiarse por algo que todavía no ha llegado a su fin. La valoración definitiva exige concluir, no adelantarse confiadamente.	En desuso
Antes moral tardío que almendro florido	La presteza en florecer en primavera del almendro se contrapone a la maduración tardía del moral, en verano, y sirve para aconsejar calma cuando se ha de tomar una determinación, al tiempo que advierte que en ocasiones las personas precoces se malogran.	En desuso
Antes quebrar que doblar	Aconseja cumplir con su deber y mantenerse firme en el ejercicio de la justicia o en la manifestación de la verdad para evitar no rendirse ante el interés o las dificultades ni dejarse influir en las decisiones. Se trata de un consejo aplicado de modo especial a los jueces. También se aplica al que no da su brazo a torcer ni cede en una contienda.	En desuso
A nuevos tiempos, nuevas costumbres	Hay que ser comprensivo o tolerante con los cambios y procurar adaptarse a ellos.	En desuso
A padre guardador, hijo gastador	La mejora económica y social que una generación ha logrado con esfuerzo, sitúa en mejor posición a la siguiente, pero la posterior no siempre mantiene el hábito de esfuerzo y economía con que se alcanzó. Quienes han trabajado mucho para conseguir algo no gastan a la ligera como los que lo han recibido por la generosidad y el sacrificio de sus progenitores.	En desuso
A pájaro durmiente, tarde le entra el cebo en el vientre	Critica a los que durmiendo más de lo prudente se arriesgan a no conseguir el sustento diario. En un sentido más amplio, reprende a los perezosos cuya desidia los priva de lo que podrían alcanzar con esfuerzo y diligencia.	En desuso
A pan de quince días, hambre de tres semanas	Ante una dificultad o necesidad extrema, hay que aceptar lo que se ofrece.	En desuso
A pan duro, diente agudo	En sentido recto, se recomienda tener una buena dentadura para poder comer todo tipo de alimentos, en especial aquellos que están duros y que no queda más remedio que tomar para saciar nuestra hambre. En sentido general, enseña a adaptar los medios a la tarea que se va realizar, en función de la dificultad de lo que se va a intentar hacer. Se recomienda decisión y esfuerzo para superar los obstáculos.	En desuso
A perro viejo no hay tus tus	Resulta sumamente difícil engañar con halagos u obsequios a la persona mayor y experimentada, representada en este refrán por el perro viejo.	En desuso
A pillo, pillo y medio	Cuando alguien actúa con picardía o malevolencia, hay que emplear sus mismas armas, e incluso acrecentadas, con el objeto de tratar a un pícaro o a un malvado como se merece.	En desuso
A poca barba, poca vergüenza	Advierte que regularmente la juventud hace a los hombres atrevidos.	En desuso
A poco caudal, poca ganancia	Señala la correspondencia inexistente entre los fines y los medios: una escasa inversión suele acarrear poco beneficio.	En desuso
A poco viento, remos sin cuento	El esfuerzo ha de suplir las carencias.	En desuso
Aprende a perder y aprenderás a ganar y a triunfar	De las situaciones poco propicias, puede extraerse enseñanzas útiles para seguir adelante y conseguir llegar al objetivo marcado.	En desuso
Aprended a bien callar, para que sepáis bien hablar	Recomienda ser discretos en el hablar guardando silencio, escuchando con paciencia, no adelantándose en el hablar para poder hablar oportunamente.	En desuso
A presurosa demanda, espaciosa respuesta	Si una persona apremia a otra en una petición, hay que actuar con discernimiento y no precipitadamente.	En desuso
Aquel es tu amigo, que te quita de ruidos	La mejor prueba de amistad es procurar evitar todo motivo de disgusto, apartar pendencias.	En desuso
Aquella ave es mala que en su nido se ensucia	Recomienda desconfiar de quien no respeta lo suyo.	En desuso
Aquella es bien casada, que ni tiene suegra ni cuñada	Da a entender que las relaciones familiares políticas no son siempre fáciles, de modo que vive con más tranquilidad quien no conoce suegra ni cuñadas.	En desuso
Aquel va más sano, que anda por lo llano	Conviene elegir la vía más segura para huir de los peligros y ser moderado, para alejarse de los extremos que puedan resultar peligrosos.	En desuso
A quien anda con miel, miel se le pega	Alude a lo difícil que resulta comportarse con rectitud en la gestión de bienes o intereses ajenos; pues, es habitual que su administrador obtenga algún beneficio personal.	En desuso
A quien cuece y amasa, de todo le pasa	Denota que en los trabajos pueden surgir problemas e inconvenientes, pero resulta habitual sufrir o padecer ciertas incomodidades inevitables cuando se tiene una ocupación.	En desuso
A quien dan, no escoge	A veces hemos de limitarnos a aceptar lo que la vida o las personas nos den, ya que, al tratarse de un beneficio, debemos mostrarnos satisfechos sin poner reparos a lo que recibimos.	En desuso
A quien dices tu secreto, das tu libertad y estás sujeto	Este refrán alude a la conveniencia de no difundir algunas cuestiones íntimas, pues revelarlas entraña riesgos y quita una libertad que no se recupera.	En desuso
A quien Dios quiere bien, la perra le pare lechones	Se aplica, en sentido figurado, a quien tiene buena suerte, a quien consigue beneficios sin mérito suyo, sin necesidad de hacer algo.	En desuso
A quien labora, Dios lo mejora	Dios ayuda y colma a quienes se esfuerzan por conseguir algo.	En desuso
A quien no le sobra pan, no críe can	En sentido recto, señala que tener un perro, sea por su utilidad, sea por capricho, implica gastos y cuidados que hay que tener en cuenta. En sentido figurado, recomienda ajustarse a las ganancias y no contraer deudas por gastos excesivos.	En desuso
A quien no mata puerco, no le dan morcilla	El beneficio llega a quien se esfuerza o colabora en una actividad.	En desuso
A quien su mujer ayuda, camino ve de fortuna	Encarece la ayuda de la mujer a su marido para el bienestar de la casa.	En desuso
Ara con niños, segarás cadillos	Los niños carecen de conocimiento y de la fuerza suficiente para realizar labores agrícolas, como la de arar la tierra. El niño simboliza el obrero inexperto. En sentido general, no se obtienen beneficios si se elige un colaborador inexperto, por ahorrarse un dinero al pagar un sueldo bajo o por no seleccionar bien a los que van a ayudar. También se utiliza para aconsejar la conveniencia de mantener a distancia a los niños.	En desuso
'Aramos', dijo la mosca. Y estaba en el cuerno del buey	Critica a quienes se jactan de realizar el trabajo que otros hacen.	En desuso
A raposo durmiente, no le amanece la gallina en el vientre	El que se descuida en lo que le importa, no conseguirá sustento o beneficio.	En desuso
A salvo está el que repica	Resulta fácil recriminar a otro su comportamiento en acciones peligrosas, cuando él está en lugar seguro.	En desuso
Asno callado, por sabio es contado	No siempre el silencio de alguien equivale a prudencia o discreción.	En desuso
Asno con oro, alcánzalo todo	Aunque se trate de un necio, si es rico, obtendrá lo que quiere.	En desuso
Asno de muchos, lobos lo comen	Lo que pertenece a muchos o lo que usan muchos pero nadie cuida como propio, acaba por perderse o deteriorarse. Por eso, el cuidado particular de las cosas es el efectivo.	En desuso
Asno rudo, aguijón agudo	Al que es tosco no hay que tratarlo con cariño, sino de manera que reaccione.	En desuso
A su tiempo maduran las brevas	No hay que precipitarse sino aguardar pacientemente el momento adecuado para actuar o conseguir algo.	En desuso
A tal señor, tal honor	Hay que dar a cada uno el trato que corresponde a su conducta, clase o rango.	En desuso
Aún no ensillamos, y ya cabalgamos	No es prudente hacer planes sin contar con los medios necesarios, porque pueden malograrse.	En desuso
Aún no ha salido del cascarón, y ya tiene espolón	Crítica a los jóvenes que, pese a su poca experiencia, presumen de mayores o excusan achaques propios de alguien mayor.	En desuso
Aunque seas muy sabio y viejo, no desdeñes el consejo	Siempre es conveniente reforzar nuestro criterio con los consejos que podamos recibir.	En desuso
Aunque todo sea barro, no es lo mismo tinaja que jarro	Aunque haya personas de igual origen o cosas hechas de un mismo material, sus cualidades o su conducta pueden no ser idénticas.	En desuso
Ayúdate, y te ayudaré	Recomienda poner los medios a nuestro alcance para lograr algo y no contar con ayuda ajena.	En desuso
Ayunar, o comer trucha	Se dice de quien no se conforma con la medianía, sino que aspira a  algo de más calidad. Con este refrán, se recrimina a quien es extremado: o todo o nada; o logra lo que anhela o renuncia a todo. Pero, puede suceder que, por esperar algo mejor, pierda una oportunidad razonable.	En desuso
Bajo la miel, está la hiel	Este refrán contiene una advertencia contra las falsas apariencias o la hipocresía. Recomienda desconfiar de los que esconden su verdadera condición bajo una apariencia falsamente complaciente y virtuosa.	En desuso
Becerrilla mansa, a su madre y a la ajena mama	La persona de buen genio, de carácter dócil y apacible suele ser bien acogida por los demás y consigue beneficios. Por otra parte, con tranquilidad y afabilidad se pueden vencer las dificultades.	En desuso
Bien está cada piedra en su agujero	Es preferible que no se altere el orden de las cosas y acontecimientos. También da a entender que cada uno debe estar en su lugar y en sus asuntos.	En desuso
Bien juega quien mira	Se aplica este refrán a quien pretende dar lecciones sin comprometerse ni cooperar. Generalmente, en el juego se compromete dinero, o cuando menos la honra o el amor propio. Existe, por tanto, el riesgo de no salir victorioso e incluso de acabar mal. Por el contrario, el que sólo es espectador y nada arriesga, todo lo ve fácil y asiste cómodamente mientras se desarrolla el juego; da su opinión o asegura que tal jugada hubiera sido maestra, pero probablemente no sería capaz de ganar con la facilidad con que habla.	En desuso
Bien vengas, mal, si vienes solo	Como con frecuencia problemas y desgracias vienen juntos, se encarece que sólo le corresponda hacer frente a un contratiempo.	En desuso
Boca dulce y bolsa abierta te abrirán todas las puertas	Las palabras amables y los obsequios facilitan las cosas en el trato social.	En desuso
Bondad merma autoridad	Advierte de las consecuencias negativas que puede acarrear tener un carácter demasiado blando: la pérdida de autoridad.	En desuso
Borracho, no tiene cura	La afición al vino es difícil de perder y muy inconveniente para la salud, el bolsillo, el trabajo y la vida familiar. Muestra escepticismo ante la posibilidad de recuperación, y sirve de advertencia a la mujer para que no tome marido con tan perniciosa costumbre. En sentido general, alude a la gran dificultad que supone dejar los malos hábitos.	En desuso
Buena es la nieve que en su tiempo viene	Son beneficiosas las cosas que llegan a su tiempo.	En desuso
Buena es la tardanza que hace la carrera segura	Recomienda dedicar todo el tiempo que sea necesario para hacer algo bien, para asegurarse la obtención de lo que se pretende. No importa que los asuntos se retrasen cuando conducen a buen término.	En desuso
Buen corazón quebranta mala ventura	No hay que derrumbarse ante las circunstancias adversas o la mala suerte, sino enfrentarse a ellas con ánimo, pues de este modo se pueden enmendar o evitar que la desgracia vaya a más.	En desuso
Buey viejo, surco derecho	Del mismo modo que el buey acostumbrado al arado no se tuerce, una persona realiza bien una actividad por haberla hecho durante mucho tiempo. Se aplica este refrán a quien desempeña bien su oficio por su inteligencia y la experiencia adquirida durante años. Se dice también para elogiar las cosas viejas, porque con frecuencia son más provechosas y útiles que las nuevas.	En desuso
Burla burlando, vase el lobo al asno	Como quien no quiere la cosa cada cual se acerca a lo que le gusta o necesita. Se emplea con frecuencia para referirse a quien actúa de forma disimulada, malintencionada o maliciosa, cuando lo único que busca es su interés.	En desuso
Caballo que vuela, no quiere espuela	En sentido figurado, se advierte que no es prudente agobiar al que se aplica en su trabajo.	En desuso
Cabra por viña, cual la madre tal la hija	Por lo general, los hijos tienen el genio y las cualidades de los progenitores, así como sus costumbres e incluso sus vicios.	En desuso
Cada asno, con su tamaño	Recomienda que cada uno debe relacionarse o juntarse con los de su misma naturaleza o condición, sin aspirar a más ni descender a menos. Se puede decir también este refrán para recomendar a alguien que sepa estar en el lugar que le corresponde.	En desuso
Cada bota huele al vino que tiene	Se conoce la condición y las cualidades de alguien por sus actos, por lo que resulta difícil disimular lo que uno es.	En desuso
Cada buhonero alaba sus agujas	Si se quiere vender algo, se suele tratar de convencer a los posibles compradores de que su mercancía es la mejor. En sentido amplio, cada cual suele encarecer lo propio y presenta lo suyo como lo más perfecto. En ocasiones, se emplea con un sentido irónico para criticar a quien presume de sus méritos.	En desuso
Cada cual case con su igual	La semejanza entre los esposos en distintos órdenes -carácter, edad, nivel social, gustos, etc.- suele ser beneficioso para que no surjan problemas al considerarse uno superior a otro e incurrir en desprecios que dificultan una convivencia armoniosa.	En desuso
Cada día gallina, amarga la cocina	Este refrán recomienda la moderación en el comer, incluso si se trata de alimentos considerados exquisitos, pues, aunque sean buenos, pueden acabar por cansar. En un sentido más general, indica que las cosas, aun siendo buenas, deben tomarse con calma, con el fin de no hartarse de ellas, pues no gustan que se repitan, se prefiere la variación.	En desuso
Cada día que amanece, el número de los tontos crece	Se dice a modo de queja a la vista de la conducta carente de juicio de alguna persona.	En desuso
Cada día trae su afán	No hay que agobiarse con lo que suceda mañana o en un futuro próximo, pues ya es bastante con afrontar las dificultades de cada día.	En desuso
Cada gallo canta en su muladar	Esta paremia alude a que cada uno manda en su casa o territorio. También se puede entender que cada uno se manifiesta según es entre sus familiares o amigos, en su ambiente, en su lugar de origen.	En desuso
Cada hormiga tiene su ira	Cada uno -aun el que parezca más insignificante-  tiene su amor propio, sus gustos, sus ideas, y puede reaccionar cuando algo le molesta o le disgusta la conducta o las pretensiones de los demás.	En desuso
Cada martes tiene su domingo	Se recomienda ser optimista, pensando que las cosas malas alternan con las buenas.	En desuso
Cada par con su par	En amistad o matrimonio, recomienda relacionarse con los de naturaleza o condición similar.	En desuso
Cada santo pide por su ermita	Se utiliza para indicar que cada uno se preocupa por sus propios intereses o por sí mismo.	En desuso
Cada sendero tiene su atolladero	En cualquier empeño se presentan obstáculos y dificultades.	En desuso
Cada uno donde es nacido, y bien se está el pájaro en su nido	Recomienda no abandonar el lugar de origen.	En desuso
Cada uno en su casa es rey	Alude a la independencia que uno goza en su hogar, ya que puede tomar decisiones con total libertad o hacer su voluntad.	En desuso
Cada uno se conoce por sus obras	Se conoce y se aprecia a las personas por lo que hacen y por su manera de hacerlo.	En desuso
Cada uno ve con los ojos que Dios le ha dado	Cada cual tiene su opinión, de acuerdo con lo que la naturaleza y la experiencia le han proporcionado.	En desuso
Callen barbas y hablen cartas	Resulta gratuito hablar cuando hay documentos para probar lo que uno dice, porque más fuerza poseen los documentos que acrediten algo que el testimonio oral.	En desuso
Calumnia, que algo queda	Alude al perjuicio que causa la calumnia, pues resulta difícil demostrar la inocencia del calumniado y recuperar su buena fama.	En desuso
Camarón que se duerme se lo lleva la corriente	Critica la poca diligencia de alguien, que ha de cargar con las consecuencias, principalmente para él.	En desuso
Caminante cansado, subirá en asno, si no encuentra caballo	Quien necesita algo con urgencia deberá tomar cualquier remedio próximo, pese a no ser el mejor ni el más apetecido.	En desuso
Camino de Roma, ni mula coja ni bolsa floja	Del mismo modo que se necesitan buenos medios de locomoción y dinero para realizar un largo viaje, no se debe emprender algo arduo sin contar con los medios adecuados.	En desuso
Canta la rana, y no tiene pelo ni lana	Recomienda paciencia, conformidad y alegría para superar el desánimo, la pobreza o alguna contrariedad, como hacen algunos que sufren carencias.	En desuso
Cantar mal y porfiar	Critica al impertinente y presumido que, pese a hacer algo mal, persiste en el error.	En desuso
Cantar pensé y, por cantar, lloré	En ocasiones se ven defraudadas nuestras esperanzas, de modo que llegan penas cuando se esperan alegrías.	En desuso
Cantó el cuquillo y descubrió su nidillo	Muestra cómo las indiscreciones, en particular las indiscreciones en el hablar, perjudican a quien las comete.	En desuso
Cara de beato y uñas de gato	Alude a quien alaba o aplaude en presencia de alguien y lo vitupera en su ausencia.	En desuso
Caridad y amor, sin tambor	Aconseja hacer bien sin difundirlo, por vanagloria.	En desuso
Carne, carne cría; y peces, agua fría	Estre refrán da a entender que la carne es alimento más sustancioso que el pescado.	En desuso
Carnero, comer de caballero	Se elogia la carne de carnero.	En desuso
Casa al hijo con tu igual, y de ti no dirán mal	Recomienda buscar pareja de la misma posición social o económica y, de este modo, se evitarán las críticas.	En desuso
Casa cerrada, casa arruinada	Cuando no se habita una casa o no se vigila, se echa a perder.	En desuso
Casa convidada, pobre y denostada	Advierte contra las críticas que recibe de los convidados quien recibe amigos en casa y al cabo no puede seguirles atendiendo como a estos les gustaría por tener que atender sus obligaciones o ha pasado ya un tiempo prudencial.	En desuso
Casa en cantón y viña en rincón	Da a entender la conveniencia de tener casa con vistas a dos calles porque tendrá mejor luz y la viña resguardada de las inclemencias del tiempo y de los viandantes. También señala que las propiedades tienen más valor cuanto mejor situadas estén.	En desuso
Casa hecha, sepultura abierta	Se dice con motivo del fallecimiento de alguien que acababa de construir su casa. A veces, los sacrificios, los esfuerzos y la ansiedad provocados podrían ser un factor desencadenante del fallecimiento de alguien con algún problema de salud.	En desuso
Casa mía, casa mía, por pequeña que tú seas, me pareces una abadía	A cada uno le agrada estar en su casa, donde se encuentra a su aire, aunque pueda haber otras más amplias o lujosas.	En desuso
Casarás y amansarás	Cuando uno se casa suele dejar de hacer cosas propias de una persona sin la responsabilidad de una familia.	En desuso
Casa sin mujer y barco sin timón, lo mismo son	Una y otro gobiernan la casa y la embarcación, respectivamente. Denota la necesidad de que haya una mujer para el buen gobierno de una casa. En general, alude a la necesidad de que haya un jefe.	En desuso
Cerezas y males traen detrás otros tales	Se emplea cuando a una misma persona le suceden dos o más desgracias casi seguidas.	En desuso
Coces de yegua, amor es para el rocín	Los castigos dados por amor no causan daño sino todo lo contrario. Se puede aplicar también a la poca importancia que se da a las molestias que conlleva la convivencia entre dos personas, cuando se quieren de verdad.	En desuso
Comer hasta enfermar y ayunar hasta sanar	Hay quienes no saben poner freno a su apetito y enferman, hasta el extremo que sólo recuperan la salud mediante la dieta.	En desuso
Comida acabada, amistad terminada	Recrimina a quienes se alejan del amigo, una vez que ya no se obtiene provecho de él.	En desuso
Comida fría y bebida caliente, no hacen buen vientre	Recomienda abstenerse de tomar alimentos fríos y bebidas calientes con el objeto de evitar molestias intestinales.	En desuso
Como canta el abad responde el monacillo	Por lo general, los súbditos se ajustan al dictamen o manera de actuar de los superiores. Se aplica también al discípulo que procede en función de las enseñanzas recibidas de su maestro. Asimismo, se debe ser cortés con todos y no dar motivo para que le falten el respeto.	En desuso
Como es el pan será la sopa	Con buenos condimentos se obtiene una buena comida. Del mismo modo, quien posee buena condición hará buenas obras. En sentido general, se aplica a la relación existente entre la calidad de algo y su materia prima.	En desuso
Como se vive, se muere	De la vida que uno lleve depende el fin que tenga. Las costumbres determinan en gran medida el tipo de vida y el probable final de cada uno.	En desuso
Compañía de dos, compañía de Dios	Da a entender que, en un asunto o negocio, se avienen mejor dos que muchas personas. También es una manera de hablar del matrimonio.	En desuso
Compartir es vivir	Ensalza el hecho de ayudar a los demás con lo que uno posee y disfrutando en común de lo que uno tiene.	En desuso
Compón el sapillo, parecerá bonillo	La fealdad puede quedar encubierta con la ropa y el arreglo personal. El atractivo físico se puede mejorar con ayuda de elementos accidentales, como la ropa o los adornos.	En desuso
Compra lo que no has menester y venderás lo que no podrías excusar	Recrimina los gastos superfluos y aconseja limitarse a comprar lo que se necesita realmente.	En desuso
Compuesta, no hay mujer fea	Nadie debe apenarse si no tiene atractivo natural, puesto que puede buscar el modo de mejorar su imagen con ayuda de los vestidos y el arreglo personal. Se dice también para reducir la admiración que puede suscitar una mujer gracias al maquillaje, la ropa y otros detalles.	En desuso
Con ajena mano, sacar la culebra del horado	Censura a quien se sirve de la ayuda de los demás para empresas peligrosas.	En desuso
Con buen pan y buen vino, no te faltarán amigos	Las invitaciones a comer bien granjean amigos.	En desuso
Con buen traje se entra y encubre el ruin linaje	Ir bien vestido abre puertas, pero también puede encubrir al que lleva mala intención.	En desuso
Conforme ven el traje tratan al paje	El trato y atención a las personas puede verse influido por su apariencia externa, aunque hay decepciones y engaños. Aconseja cuidar la compostura y la manera de vestir para favorecer una acogida favorable por parte de la sociedad.	En desuso
Con gente bulliciosa, poca cosa	Recomienda alejarse de las personas demasiado parlanchinas.	En desuso
Con hermosura sola no se pone la olla	La elección de esposa no conviene basarse únicamente en el atractivo, sino en las cualidades de esposa y ama de casa.	En desuso
Con la ayuda del vecino, mató mi padre un cochino	En ocasiones resulta necesario contar con los demás para la realización de acciones concretas.	En desuso
Con ladrones y gatos, poco trato	Tanto el ladrón como el gato, están considerados dos peligros para los bienes e incluso para la propia vida. En sentido general, se recomienda evitar aquello que pueda perjudicarnos.	En desuso
Con las glorias se olvidan las memorias	Quien adquiere una alta posición social o llega a ocupar un puesto importante, suele olvidarse de los amigos y de los favores recibidos.	En desuso
Con lo mío me ayude Dios	Es mejor atenerse a lo propio y no depender de otros. Emplean esta frase quienes se conforman con lo que tienen.	En desuso
Con lo que sana el hígado, enferma el bazo	Del mismo modo que lo que es bueno para un órgano no lo es para otro, lo que aprovecha a unas cosas o a algunas personas perjudica a otras, por lo que no todas las cosas convienen a todos.	En desuso
Con mi duro cuento yo; con mi amigo quizás no	Esta reflexión la haría quien echa sus cálculos y entiende que es preferible que se limite a lo que tiene sin esperar dinero de otros.	En desuso
Con necesidad, no hay ley	Cuando falta lo esencial o se presenta una emergencia, puede ocurrir que se excuse lo que no sería aceptable, se cometa alguna infracción o incluso un delito por atender las necesidades básicas.	En desuso
Con paciencia todo se logra	Se emplea para recomendar no impacientarse, porque muchas cosas se obtienen al cabo del tiempo y de muchos esfuerzos.	En desuso
Consejo no pedido, consejo mal recibido	Alude a la situación en la que no agrada recibir consejos por no haber sido solicitados. Hay personas que dan consejos por el bien de uno sin esperar a que se lo pidan o simplemente porque están acostumbradas a dar su opinión, e incluso a imponerla.	En desuso
Corazón alegre, hombre sano	La alegría y el buen humor son un excelente tónico para la vida.	En desuso
Cortesía de boca, mucho vale y poco cuesta	Elogia la utilidad de los buenos modales.	En desuso
Cosa fea, ni se haga ni se aprenda	No es aconsejable hacer nada reprensible.	En desuso
Cosa prometida, es medio debida	Advierte de la obligación que se contrae al hacer promesas.	En desuso
Costumbres y dineros hacen a los hijos caballeros	Se gana la atención y el aprecio de los demás -en definitiva, una mejor posición social- con riquezas y buenos modales.	En desuso
Cual el año, tal el jarro	Según haya sido meteorológicamente el año, así será la vendimia que se recoja y, por consiguiente, la calidad y cantidad del vino. Conforme sea la cosecha, abundante o escasa, así será el tamaño del jarro con el que se dé de beber. De modo general, señala la necesidad de que los gastos no superen los medios para cubrirlos.	En desuso
Cual el cuervo, tal el huevo	Por lo general, los hijos son como los padres, a quienes imitan en su modo de pensar y proceder.	En desuso
Cual el rey, tal la grey	Denota la gran influencia que ejerce en las costumbres de un pueblo o de una comunidad el comportamiento de quien los gobierna. Por eso, recomienda a los gobernantes actuar con honestidad y a los súbditos elegir bien a sus gobernantes.	En desuso
Cual el tiempo, tal el tiento	Es conveniente adaptarse a los cambios en la sociedad y en la vida.	En desuso
Cual es la madre, así las hijas salen	Las hijas siguen en gran medida el modo de proceder de su madre, hasta el punto a veces de convertirse en su reflejo.	En desuso
Cuando atruena en marzo, apareja las cubas y el mazo	En el mes de marzo, la lluvia que anuncian los truenos puede ser muy beneficiosa para el campo, y consiguientemente para obtener una buena cosecha.	En desuso
Cuando Dios amanece, para todos amanece	Este refrán tiene un doble sentido: por un lado, indica que debe compartirse con los demás los bienes que uno posee; por otro lado, señala que son gratuitos los bienes fundamentales de la vida.	En desuso
Cuando el diablo no tiene qué hacer, con el rabo mata moscas	Critica a quien pierde el tiempo o lo derrocha en cosas inútiles.	En desuso
Cuando el diablo reza, engañar te quiere	Recrimina a los hipócritas y, por lo general, a quienes ocultan su dañina intención con buenas apariencias.	En desuso
Cuando falta la piel del león, es preciso tomar la de la zorra	A falta de algo mejor, hay que conformarse con lo que está a nuestro alcance.	En desuso
Cuando fueres por camino, no digas mal de tu enemigo	Recomienda la precaución en el hablar de los demás cuando se va por lugares públicos donde hay personas desconocidas.	En desuso
Cuando la cabeza duele, todo el cuerpo duele	El cuerpo es un todo que acusa cualquier malestar. De igual modo, lo que aflige al miembro de una familia o de un grupo, repercute en el resto de sus miembros. Con frecuencia se aplicaba a las relaciones entre el rey y sus súbditos.	En desuso
Cuando la pobreza entra por la puerta, el amor sale por la finestra	Cuando el amor no es firme, las dificultades y, más aún, la pobreza acaban con él.	En desuso
Cuando la zorra anda a caza de grillos, mal para ella y peor para sus hijos	Denota la gran necesidad y pobreza que tiene quien hace lo que no corresponde a su estado, quien se emplea en cosas de escasísima utilidad.	En desuso
Cuando la zorra predica no están seguros los pollos	Hemos de prevenirnos ante el comportamiento inusual de una persona, porque muy probablemente obedece a una intención velada que nos afectará negativamente.	En desuso
Cuando un lobo come a otro, no hay qué comer en el soto	Hay que huir de sitios agradables, pero en los que existen riesgos.	En desuso
Cuanta más grandeza, más llaneza	La gente de verdadera calidad suele ser de carácter sencillo y se descubre en su comportamiento, en su trato dulce, exento de ceremonias y rigidez.	En desuso
Cuanto más amigos, más claridad	La franqueza en las opiniones y la exactitud en las cuentas son medios para mantener la amistad.	En desuso
Cuanto más viejo, más pellejo	Ciertas inclinaciones e instintos no se reducen sino que se acrecientan con el paso de los años.	En desuso
Cuantos hombres, tantos pareceres	Resulta difícil que haya coindicencia de opinión entre varias personas y, aun coincidiendo bastante, lo habitual es que haya distintos pareceres.	En desuso
Cuenta tu pena a quien sabe de ella	La persona que ha sufrido puede comprender mejor la situación, así como dar consuelo y buenos consejos.	En desuso
Cuenta y razón, conservan amistad	Muestra que debe haber seriedad en las cuentas incluso entre grandes amigos.	En desuso
Cuerpo descansado dinero vale	Es una manera de justificarse por no trabajar. Si no se va a conseguir gran cosa trabajando más, se lo toma uno con calma. Hay quienes prefieren no trabajar demasiado pues, con librarse de las fatigas, se consideran también pagados o recompensados. Podría emplearlo  también como réplica quien ha hecho un  trabajo para otro, al que cuando llega la hora de pagar le parece mucho.	En desuso
Cuida bien lo que haces, no te fíes de rapaces	Advierte que uno no debe encomendarse a jóvenes inexpertos cuando se trata de asuntos o negocios de importancia.	En desuso
Cuida de tus duelos y deja los ajenos	Cada cual debe estar a lo suyo y no apenarse en exceso por lo que no nos concierne.	En desuso
Cuidados ajenos mataron al asno	Critica a las personas entrometidas y advierte de las molestias que causa tratar de ayudar a otros, cuyos problemas no nos afectan directamente.	En desuso
Culo de mal asiento, no acaba cosa ninguna y empieza ciento	Se refiere a quienes comienzan varias cosas pero no se centran y todo lo dejan a medias. Quienes no son constantes no llegan a terminar trabajo alguno.	En desuso
Cura más la dieta que la lanceta	Una buena dieta ayuda más a conservar o restablecer la salud que la medicina.	En desuso
Da Dios almendras al que no tiene muelas	Se emplea con ironía para aludir a quien no puede aprovechar las riquezas o los beneficios que recibe.	En desuso
Dádivas quebrantan peñas	Lo que parece imposible de vencer suele ceder con obsequios.	En desuso
Dame gordura, darte he hermosura	Estima que la gordura realza la belleza física, al tiempo que pondera la belleza sin excesiva delgadez.	En desuso
Dame y te daré	Hay que ser agradecidos y corresponder a la ayuda y a los favores recibidos. Quien dice este refrán señala que está dispuesto a aceptar y hacer concesiones, a recibir ayuda y a ayudar.	En desuso
Dando gracias por agravios negocian los hombres sabios	Encarece el modo en que actúan las personas sabias, que no se muestran excesivamente agraviadas antes las injurias sino aparentemente comprensivas y con generosidad.	En desuso
Dando la gotera hace señal la piedra	Da a entender que las mayores dificultades se vencen con tenacidad y constancia.	En desuso
Dar coces contra el aguijón es poca discreción	Alude a quien porfía contra la razón o un poder mayor, a quien trata de resistir a una fuerza a la que no se puede vencer. No hay que empeñarse en hacer frente a una fuerza superior, pues lo único que se consigue es salir perjudicado, como le sucede a la bestia que pretende dar patadas a la aijada, con lo que se pincha más pronta y profundamente.	En desuso
Date prisa despacio, y llegarás a palacio	No es bueno el apresuramiento, pues con frecuencia malogra lo que pretendemos.	En desuso
Da y ten, y harás bien	Previene contra la prodigalidad. El que da sin medida ni cabeza puede verse en necesidad, por lo que se debe ser generoso con medida.	En desuso
De alegría también se llora	Paradójicamente, el llanto puede deberse a satisfacción y contento.	En desuso
De amigo a amigo, sangre en el ojo	La sangre, la chinche, el agraz... representan las ingratitudes que a veces llegan de quienes se llaman amigos. Alude a quienes hieren en lo más delicado a las personas que le han otorgado su confianza. Por eso, se recomienda no confiar demasiado en los que se venden por amigos.	En desuso
De buena casa, buena brasa	Señala que, de la casa rica, son buenos hasta los desperdicios. En sentido general, se aplica también a personas.	En desuso
De buen vino, buen vinagre	Cuando se emplean elementos de calidad, el resultado es satisfactorio. Se aplica también cuando entre la ascendencia y la descendencia existe una relación de calidad.	En desuso
Decir y hacer no comen a una mesa	No hay que confiar alegremente en lo que dicen o prometen las personas, y más sin conocerlas bien. Esta paremia manifiesta también lo difícil que resulta medir las obras con las palabras.	En desuso
De dinero y calidad, la mitad de la mitad	Con frecuencia se exagera la riqueza o el linaje de alguien.	En desuso
